Name,Pistol_Rounds_Won_Percentage,HS_Percentage,Clutches_Won,ADR,FPR,APR,K_D_Diff_Round,Flash_Assists_Round,Blind_Players_Killed_Round,Blind_Kills,Grenade_Damage_Round,Fire_Damage_Round,Time_Flashing_Opponents_Round,Accuracy,Num_Times_Trader,Num_Times_Tradee,KAST,Won
iB^tecek,0.50,0.31,0.31,114.33,0.72,0.14,-0.06,0.00,0.17,0.19,4.50,0.00,2.68,0.17,0.03,0.17,1.25,1
iBnawrot,0.50,0.67,0.00,60.75,0.42,0.17,-0.22,0.11,0.11,0.06,2.14,0.00,2.16,0.12,0.03,0.06,1.25,1
iBmatty123,0.50,0.60,0.00,87.92,0.56,0.33,-0.08,0.14,0.17,0.06,4.81,0.00,2.14,0.14,0.08,0.08,1.14,1
GunrunnersZEDKO,0.50,0.66,0.28,125.33,0.81,0.25,0.14,0.06,0.08,0.14,5.89,0.00,2.48,0.15,0.11,0.06,1.19,0
GunrunnersDEV7L,0.50,0.45,0.00,99.56,0.61,0.06,0.03,0.03,0.06,0.11,4.92,0.00,3.48,0.07,0.11,0.08,0.97,0
Gunrunnersn4turaL,0.50,0.36,0.14,108.08,0.78,0.06,0.17,0.00,0.19,0.11,7.94,0.00,2.23,0.15,0.08,0.08,1.25,0
GunrunnersTHELiVe,0.50,0.50,0.00,88.11,0.72,0.08,0.19,0.03,0.22,0.11,8.83,0.00,2.61,0.11,0.11,0.08,0.86,0
iBRETO,0.50,0.48,0.00,95.06,0.69,0.28,0.06,0.08,0.11,0.03,9.97,0.00,2.83,0.14,0.19,0.17,1.17,1
iBHyperro,0.50,0.35,0.08,91.78,0.72,0.22,0.03,0.08,0.11,0.11,13.81,0.00,1.76,0.14,0.22,0.08,0.92,1
Gunrunnersqueztone,0.50,0.47,0.06,80.75,0.47,0.33,-0.25,0.17,0.14,0.03,10.03,0.00,2.16,0.12,0.03,0.14,0.89,0
