Name,Pistol_Rounds_Won_Percentage,HS_Percentage,Clutches_Won,ADR,FPR,APR,K_D_Diff_Round,Flash_Assists_Round,Blind_Players_Killed_Round,Blind_Kills,Grenade_Damage_Round,Fire_Damage_Round,Time_Flashing_Opponents_Round,Accuracy,Num_Times_Trader,Num_Times_Tradee,KAST,Won
Jame,0.50,0.13,0.00,69.93,0.56,0.00,-0.07,0.00,0.00,0.07,0.00,0.30,1.15,0.10,0.11,0.07,0.59,0
buster,0.50,0.63,0.00,106.74,0.70,0.15,0.15,0.04,0.00,0.00,1.96,2.11,0.59,0.15,0.15,0.15,0.81,0
KrizzeN,0.50,0.50,0.00,94.74,0.52,0.07,-0.15,0.00,0.00,0.00,4.74,1.70,1.62,0.22,0.00,0.22,0.74,0
Zeus,0.50,0.58,0.00,60.26,0.44,0.07,-0.07,0.04,0.04,0.00,2.56,1.96,0.69,0.07,0.04,0.07,0.78,1
qikert,0.50,0.44,0.00,100.00,0.59,0.15,-0.26,0.00,0.00,0.00,1.96,7.37,1.54,0.26,0.07,0.07,0.52,0
s1mple,0.50,0.45,0.00,131.56,0.74,0.19,0.26,0.00,0.07,0.00,0.00,0.00,1.11,0.16,0.07,0.19,0.70,1
fitch,0.50,0.60,0.00,78.89,0.56,0.07,-0.11,0.00,0.04,0.00,0.11,1.56,1.43,0.12,0.22,0.04,0.52,0
flamie,0.50,0.24,0.00,74.44,0.63,0.11,-0.07,0.04,0.00,0.00,0.67,0.00,1.70,0.14,0.11,0.11,0.67,1
Edward,0.50,0.48,0.00,110.81,0.85,0.26,0.33,0.07,0.00,0.04,0.81,1.63,0.70,0.15,0.11,0.00,0.78,1
electronic,0.50,0.42,0.07,106.93,0.70,0.22,0.00,0.00,0.11,0.00,6.41,0.37,1.22,0.16,0.19,0.15,0.67,1
